Fundo,Imagem,PDF,Autor,Titulo,Titulos atríbuidos,Notas de edição,Idioma,Edição / Descrição geral,Categoria,Subcategoria,Legendas,Descrição Material,Dimensões,Itens relacionados,Cota,Data,Locais,Palavras chave,Identificador
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-597__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (597),Linguagem do quadrado (Relação 9/10),,,Desenho desenvolvido a partir do duplo quadradoProposta de igualdade entre o diâmetro e duas vezes a nona parte da circunferência mais uma vez a décima parte - derivação da relação 9/10,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-597,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3435
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-598_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do quadrado (598),"Linguagem do quadrado Linguagem do quadrado (9, 10, 14)",,,"Cordas da divisão da circunferência em 9, 10 e 14 partes num quadrado que define um quadrante da circunferência.",Arte Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-598,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/884
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-599__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (599),Linguagem do quadrado (Relação 9/10),,,Proposta de igualdade entre o raio e 1 vez a nona parte da circunferência mais a décima parte da circunferência sobre 2 - derivação da relação 9/10,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-599,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3436
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-600__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (600),"Linguagem do quadrado (Divisão da circunferência em 9, 10 e 14 partes iguais)",,,"Proposta de divisão da circunferência em 9, 10 e 14 partes iguais.Provável rascunho para ANSA-A-598",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-600,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3438
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-601_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do Quadrado (601),Linguagem do Quadrado Linguagem do Quadrado (601),,Português,"Divisão da circunferência em 8, 9, 10, 16 e 20 partes e determinação de Φ, baseada num quadrante da circunferência inscrito num quadrado.",Arte Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel.",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-601,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/961
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-602_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do quadrado (602),"Linguagem do quadrado Linguagem do quadrado (10, 18, 20)",,,"Divisão da circunferência em 10, 18 e 20 partes, num quadrado que define um quadrante da circunferência.",Arte Geometria,Linguagem do quadrado Desenho,"52, no canto superior direito.","Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-602,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/930
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-603_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do quadrado (603),"Linguagem do quadrado Linguagem do quadrado (8, 9)",,,"Divisão da circunferência em 8 e 9 partes, num quadrado que define um quadrante da circunferência.",Arte Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-603,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/933
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-604-001__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (604),Linguagem do quadrado (Divisão da circunferência em 9),,Português,"Estudo para proposta de divisão da circunferência em 9 partes iguais.No verso lê-se, a lápis, ""pintar o sete provérbio português""",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-604,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3439
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-605__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (605),Linguagem do quadrado (Divisão da circunferência várias partes iguais),,,"Estudo para proposta de divisão da circunferência em 5, 7, 8, 9 e 10 partes iguais.Inclui referência a Fi , a razão de ouro.",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-605,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3447
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-606__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (606),Linguagem do quadrado (Divisão da circunferência partes iguais),,,"Estudo para proposta de divisão da circunferência em 7, 8 e 10 partes iguais.",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-606,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3448
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-608_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do quadrado (608),"Linguagem do quadrado Linguagem do quadrado (9, 10, M, m)",,,Desenho desenvolvido a partir de dois quadrantes. Divisão da circunferência em 9 e 10 partes e média e extrema razão (M e m) determinadas num retângulo e num triângulo.,Arte Geometria,Linguagem do quadrado Desenho,Número 34 escrito a lápis no canto superior direito.,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-608,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/877
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-609_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do Quadrado (609),Linguagem do Quadrado Linguagem do Quadrado (609),,Português,Divisão da circunferência em 9 e 10 partes e determinação de M e m em dois triângulos. Construção baseada em dois quadrantes da circunferência.,Arte Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel.",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-609,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/844
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-610_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do quadrado (610),"Linguagem do quadrado Linguagem do quadrado (M, m)",,,Desenho desenvolvido a partir de um quadrante.  Determinação da média e extrema razão (M e m) num quarto de circunferência.,Arte Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-610,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/878
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-611_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do quadrado (611),Linguagem do quadrado Linguagem do quadrado (capa),,,Capa da coleção 'Linguagem do Quadrado',Arte Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel, com o seguinte texto: relação 9/10 linguagem do quadrado sem texto sem enigma sem cálculo sem opinião",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-611,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/926
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-612__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (612),Linguagem do quadrado (relação 9/10),"Inclui referência a ""nónio""As edições Nónio são uma chancela criada por Almada, para as suas próprias publicações, de autor. Não chega a ser formalizada enquanto editora, mas é assinalada em muitos esboços e estudos.",Português,Estudo para capa de conjunto dedicado à Linguagem do QuadradoProvável rascunho para ANSA-A-611,Arte / Geometria,Linguagem do quadrado Desenho,sem textosem enigmasem cálculosem opinião,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-612,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3449
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-613__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (613),Linguagem do quadrado (relação 9/10),,Português,Estudo para possível folha de rosot do conjunto dedicado à Linguagem do Quadrado,Arte / Geometria,Linguagem do quadrado Desenho,relação 9/10linguagem do quadradoA divisão simultânea do círculo e do quadrado é a origem simultânear degrau (relação 9/10)proporção contínua (média e extrema razão)(Geometria é anterior à Aritmética Aristóteles),"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-613,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3452
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-623-001__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (623),"Linguagem do quadrado (folha de rascunho, pintar o sete)",,Português,"Folha cujo traçado geométrico foi abandonado, passando a servir para experimentação gráfica com letras de escantilhão.",Arte / Geometria,Linguagem do quadrado Desenho,"Pintar o sete Provérbio português [No verso:]""A unidade, isto é, o ponto não-espacial.""""O desigual, isto é, o relativo.""Aristóteles","Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-623,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3453
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-624_thumbnail.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (624),"Linguagem do quadrado Linguagem do quadrado (9, 10)",,Português,Citação de Hierocles que acompanha o conjunto de desenhos com título atribuído 'linguagem do quadrado',Arte Geometria,Linguagem do quadrado Desenho,,"Texto escrito a tinta verde e vermelha, com traços a lápis",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-624,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1855
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-625_thumbnail.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (625),"Linguagem do quadrado Linguagem do quadrado (9, 10)",,Português,"Citações de Filolau, Aristóteles e Vitrúvio que acompanham o conjunto de desenhos com título atribuído 'linguagem do quadrado'",Arte Geometria,Linguagem do quadrado Desenho,,"Texto escrito a tinta vermelha, com traços a lápis",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-625,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/932
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-568-c__pia_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do quadrado (626),"Linguagem do quadrado Linguagem do quadrado (9, 10)",,Português,Citação de Vitruvio que acompanha o conjunto de desenhos com título atribuído 'linguagem do quadrado',Arte Geometria,Linguagem do quadrado Desenho,,"Texto escrito a tinta preta, com traços a lápis.",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-626,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1856
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-627_thumbnail.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (627),"Linguagem do quadrado Linguagem do quadrado (9, 10)",,Português,Provérbio português 'Pintar o Sete' ; verso com desenhos rasurados.,Arte Geometria,Linguagem do quadrado Desenho,,"Texto escrito a tinta preta, com traços a lápis.",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-627,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1857
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-628_thumbnail.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (628),"Linguagem do quadrado Linguagem do quadrado (9, 10)",,Português,Provérbio português 'Pintar o Sete' ; verso com desenhos rasurados.,Arte Geometria,Linguagem do quadrado Desenho,,Texto escrito a tinta vermelha e a lápis.,63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-628,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1854
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-629__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (629),Linguagem do quadrado (pentagrama invertido),,,"Estudo geométrico que liga a divisão da circunferência em partes iguais (4,7,9,10,16,20) com propriedades de um pentagrama irregular invertido, baseado no espelho chinês (ver ANSA-A-904)",Arte / Geometria,Linguagem do quadrado Desenho,,Desenho a lapiseira e esferográfica sobre papel,63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-629,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3454
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-630__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (630),Linguagem do quadrado (divisão da circunferência em partes iguais),,,"Estudo geométrico incompleto, dedicado à divisão da circunferência em partes iguais",Arte / Geometria,Linguagem do quadrado Desenho,,Desenho a lapiseira e esferográfica e marcador sobre papel,63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-630,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3455
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-631__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (631),Linguagem do quadrado (divisão da circunferência em partes iguais),,,"Estudo geométrico incompleto, dedicado à divisão da circunferência em partes iguais",Arte / Geometria,Linguagem do quadrado Desenho,,Desenho a lapiseira e esferográfica e marcador sobre papel,63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-631,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3456
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-631__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (632),Linguagem do quadrado (divisão da circunferência em partes iguais),,,"Estudo geométrico incompleto, dedicado à divisão da circunferência em partes iguais",Arte / Geometria,Linguagem do quadrado Desenho,,Desenho a lapiseira e esferográfica e marcador sobre papel,63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-632,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3457
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-633-001__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (633),Linguagem do quadrado (divisão da circunferência em partes iguais),"No verso tem um estudo incompleto para a pintura ""Porta da Harmonia"" (1957, FCG)",,"Estudo geométrico incompleto, dedicado à divisão da circunferência em partes iguais",Arte / Geometria,Linguagem do quadrado Desenho,,Desenho a lapiseira e esferográfica e marcador sobre papel,63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-633,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3461
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-634-001__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (634),Linguagem do quadrado (pentagrama invertido),Tem estudo inacabado no verso semelhante ao da frente.,,Estudo para proporções relevantes de um pentagrma invertido igual ao de um espelho chinês (ver ANSA-A-904),Arte / Geometria,Linguagem do quadrado Desenho,,Desenho a lapiseira e esferográfica sobre papel,63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-634,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3462
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-637_thumbnail.JPG,,"Negreiros, José de Almada",Linguagem do quadrado (637),"Linguagem do quadrado Linguagem do quadrado (9, 10, √5, √5+1)",,,Divisão da circunferência em 9 e 10 partes e determinação de √5 e √5+1 em dois quadrados que definem dois quadrantes da circunferência.,Arte Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-637,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/931
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-647.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (647),Linguagem do quadrado (Toda a novidade não é senão esquecimento),,Português,"Frase recorrentemente inscrita por Almada, como citação de Salomão (nome também inscrito, a lápis, na folha):""Toda a novidade não é senão esquecimento""",Arte / Geometria,Linguagem do quadrado Desenho,,Lapiseira e caneta de tinta sobre papel,63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-647,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3463
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-879__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (879),Linguagem do quadrado (Divisão da circunferência em 7 e 10 partes iguais),,,Estudo para a relação entre a divisão da circunferência em 7 e 10 partes iguais e a sétima parte do diâmetro da circunferência.,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-879,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3468
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-880__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (880),Linguagem do quadrado (Divisão da circunferência em partes iguais e relação com raios e diâmetros),,,Estudo para relações entre a divisão da circunferência em 7 e 10 partes iguais e a quinta e a sétima parte do diâmetro e do raio da circunferência.Nota ainda para a identificação de um rectângulo de ouro.,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, tinta, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-880,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3469
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-881__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (881),Linguagem do quadrado (Divisão da circunferência em 10 partes iguais),,,Traçado geométrico para a décima parte da circunferência: o mesmo utilizado na Relação 9/10.,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-881,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3470
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-882__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (882),Linguagem do quadrado (Divisão da circunferência em partes iguais),,,"Traçados geométricos para a determinação de arcos de cricunferência com determinados ângulos (19º, 18º e 20º) e resepectiva relação com a divisão da circunferência em partes iguais",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-882,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3471
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-883__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (883),Linguagem do quadrado (Divisão da circunferência em 7 partes iguais),,,Relação da sétima parte da circunferência com um terço do seu raio e um nono do seu diâmetro.,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-883,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3472
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-884__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (884),"Linguagem do quadrado (Divisão da circunferência em 7, 9 e 10 partes iguais)",,,Relação entre o diâmetro e 2 vezes a nona parte da circunferência + 1 vez a décima parte (como apresentada inúmeras vezes - ex. painel Começar - enquanto manifestação da relação 9/10).Apresenta outras relações entre raio e partes da circunferência também.,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-884,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3473
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-885__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (885),Linguagem do quadrado (Divisão da circunferência em 8 e 9 partes iguais),,,Relação entre a oitava e a nona parte da circunferência.,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-885,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3474
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-886__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (886),Linguagem do quadrado (três pentagramas),,,"Três pentagramas inscritos numa circunferência.Desenho geométrico em tudo semelhante ao apresentado no extremo equerdo do painel Começar.Ver também ANSA-A-634 e ANSA-A-629, deste conjunto de obras.",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-886,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3475
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-887__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (887),Linguagem do quadrado (divisão da circunferência em partes iguais),,,"Divisão da circunferência em 7, 10 e 14 partes iguais, relacionadas com o Ponto de Bauhutte.",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-887,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3476
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-888__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (888),Linguagem do quadrado (divisão da circunferência em 9 partes iguais),,,"Divisão da circunferência em 9 partes iguais em função de um rectêngulo de proporções 1 para 1,5.",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-888,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3477
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-889__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (889),Linguagem do quadrado (divisão da circunferência em 10 partes iguais),,,"Divisão da circunferência em 10 partes iguais em função de um rectêngulo de proporções 1 para 1,5.",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-889,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3478
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-890__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (890),Linguagem do quadrado (divisão da circunferência em partes iguais),,,Divisão da circunferência em 7 e 9 partes iguais.,Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-890,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3480
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-891__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (891),Linguagem do quadrado (relação 9/10),,Português,"Divisão da circunferência em 9 e 10 partes, manifestação da ""relação 9/10"".A legenda afirma que o diâmetro de uma circunferência é igual a duas vezes a nona parte mais uma vez a sua décima parte. Proposta também apresentada no painel Começar (1968, FCG).",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-891,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3481
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-892-001__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (892),Linguagem do quadrado (divisão da circunferência em partes iguais),,,"Divisão da circunferência em 5, 9 e 10 partes.",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-892,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3482
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-893__2_.jpg,,"Negreiros, José de Almada",Linguagem do quadrado (893),Linguagem do quadrado (divisão da circunferência em partes iguais),,,"Divisão da circunferência em 5, 9, 10 e 20 partes iguais.",Arte / Geometria,Linguagem do quadrado Desenho,,"Desenho a lapiseira, marcador e esferográfica sobre papel",63 x 45 cm,Ver a série com o título 'Linguagem do Quadrado',ANSA-A-893,c. 1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3483
